Country,State,Year,Types Of Coal,Coal Consuming Sectors,Coal Consumed (UOM:t(Tonnes))
India,Jharkhand,"Financial Year (Apr - Mar), 2011",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.445
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2015",RAW COAL,CEMENT,0.214
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",MIDDLINGS,POWER (UTILITY),0.741
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",RAW COAL,COLLIERY OWN - CONSUMPTION,0.004
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",RAW COAL,CEMENT,1.567
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (CAPTIVE),11.644
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER,0.263
India,Gujarat,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (CAPTIVE),0.431
India,Delhi,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,0.003
India,Delhi,"Financial Year (Apr - Mar), 2013",WASHED COAL,POWER (UTILITY),0.998
India,Bihar,"Financial Year (Apr - Mar), 2017",RAW COAL,METALLURGICAL USE- COKERIES,0.041
India,Chhattisgarh,"Financial Year (Apr - Mar), 2015",MIDDLINGS,POWER (UTILITY),0.488
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",WASHED COAL,POWER (UTILITY),0.549
India,Bihar,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (UTILITY),17.156
India,Delhi,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (CAPTIVE),0.072
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2015",RAW COAL,OTHER,0.012
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,OTHER,0.058
India,Assam,"Financial Year (Apr - Mar), 2018",WASHED COAL,POWER (UTILITY),0.029
India,Gujarat,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (UTILITY),18.115
India,Bihar,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),18.337
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",RAW COAL,COLLIERY OWN - CONSUMPTION,0.006
India,Assam,"Financial Year (Apr - Mar), 2018",RAW COAL,CEMENT,0.027
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2014",RAW COAL,BRICKS,0.011
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",WASHED COAL,METALLURGICAL USE- COKERIES,0.462
India,Goa,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (CAPTIVE),0.005
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2016",RAW COAL,BRICKS,0.009
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (UTILITY),34.579
India,Haryana,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER,0.078
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,CHEMICAL,0.324
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,OTHER,0.959
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,FERTILISERS,0.001
India,Haryana,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.076
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2012",RAW COAL,BRICKS,0.017
India,Haryana,"Financial Year (Apr - Mar), 2016",MIDDLINGS,POWER (UTILITY),0.175
India,Haryana,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (CAPTIVE),0.041
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",RAW COAL,CEMENT,1.471
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,PULP & PAPER,0.526967855
India,Delhi,"Financial Year (Apr - Mar), 2012",RAW COAL,OTHER,0.243
India,Goa,"Financial Year (Apr - Mar), 2012",RAW COAL,SPONGE IRON,0.023
India,Haryana,"Financial Year (Apr - Mar), 2012",RAW COAL,OTHER,0.047
India,Gujarat,"Financial Year (Apr - Mar), 2015",LIGNITE,POWER (UTILITY),6.775
India,Gujarat,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (UTILITY),19.732
India,Gujarat,"Financial Year (Apr - Mar), 2011",LIGNITE,POWER (UTILITY),5.824
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2016",RAW COAL,TEXTILES & RAYONS,0.001
India,Gujarat,"Financial Year (Apr - Mar), 2016",LIGNITE,CEMENT,0.103
India,Haryana,"Financial Year (Apr - Mar), 2011",RAW COAL,PULP & PAPER,0.061
India,Delhi,"Financial Year (Apr - Mar), 2016",MIDDLINGS,POWER (UTILITY),0.008
India,Chhattisgarh,"Financial Year (Apr - Mar), 2015",WASHED COAL,SPONGE IRON,2.507
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",WASHED COAL,POWER (CAPTIVE),0.058
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,TEXTILES & RAYONS,0.122
India,Gujarat,"Financial Year (Apr - Mar), 2013",RAW COAL,FERTILISERS,0.399
India,Haryana,"Financial Year (Apr - Mar), 2017",WASHED COAL,POWER (UTILITY),0.528
India,Haryana,"Financial Year (Apr - Mar), 2013",RAW COAL,PULP & PAPER,0.049
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",RAW COAL,SPONGE IRON,1.659
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.004
India,Gujarat,"Financial Year (Apr - Mar), 2012",RAW COAL,OTHER,0.293
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,1.875
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",RAW COAL,CHEMICAL,0.06
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",RAW COAL,METALLURGICAL USE- COKERIES,0.203
India,Gujarat,"Financial Year (Apr - Mar), 2011",RAW COAL,PULP & PAPER,0.004
India,Assam,"Financial Year (Apr - Mar), 2012",RAW COAL,OTHER,0.093
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (CAPTIVE),2.022564337
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,CEMENT,0.541
India,Delhi,"Financial Year (Apr - Mar), 2013",RAW COAL,OTHER,0.108
India,Delhi,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.001
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.075
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2014",RAW COAL,CEMENT,2.209513898
India,Gujarat,"Financial Year (Apr - Mar), 2012",LIGNITE,BRICKS,0.915
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",WASHED COAL,METALLURGICAL USE- COKERIES,0.246
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (UTILITY),38.226
India,Assam,"Financial Year (Apr - Mar), 2016",RAW COAL,PULP & PAPER,0.037
India,Gujarat,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),16.169
India,Delhi,"Financial Year (Apr - Mar), 2012",WASHED COAL,POWER (UTILITY),1.06
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,PULP & PAPER,0.137
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2012",RAW COAL,CEMENT,0.03
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,CHEMICAL,0.167589088
India,Bihar,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (UTILITY),10.513
India,Gujarat,"Financial Year (Apr - Mar), 2017",RAW COAL,TEXTILES & RAYONS,0.025
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",RAW COAL,SPONGE IRON,0.124
India,Jharkhand,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (CAPTIVE),1.495
India,Gujarat,"Financial Year (Apr - Mar), 2016",RAW COAL,PULP & PAPER,0.005
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",RAW COAL,POWER (UTILITY),62.478
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (CAPTIVE),0.074
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2014",RAW COAL,BRICKS,0.013915339
India,Gujarat,"Financial Year (Apr - Mar), 2016",LIGNITE,FERTILISERS,0.003
